#	Isochrone	Z = 0.01900		Age = 	6.310e+07 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	Mbol 	Mu 	Mb 	Mv 	Mr 	Mi 	Mj 	Mh 	Mk 	Flum
	7.80	6.33224106	6.3196	3.4851	4.1662	3.3644	-3.943	-3.554	-2.963	-2.806	-2.751	-2.671	-2.470	-2.415	-2.364	-0.06131457
	7.80	6.34585524	6.3330	3.5001	4.1733	3.3789	-3.980	-3.566	-2.962	-2.803	-2.746	-2.664	-2.457	-2.400	-2.348	-0.06113705
	7.80	6.35503197	6.3420	3.5215	4.1906	3.4270	-4.034	-3.560	-2.924	-2.754	-2.690	-2.605	-2.385	-2.325	-2.270	-0.06101790
	7.80	6.35763979	6.3446	3.5417	4.2054	3.4663	-4.084	-3.558	-2.895	-2.715	-2.646	-2.555	-2.325	-2.264	-2.204	-0.06098412
	7.80	6.35919094	6.3461	3.5723	4.2229	3.5057	-4.161	-3.564	-2.876	-2.690	-2.620	-2.522	-2.278	-2.211	-2.151	-0.06096404
	7.80	6.35925627	6.3461	3.5699	4.2225	3.5067	-4.155	-3.560	-2.872	-2.686	-2.616	-2.518	-2.275	-2.208	-2.148	-0.06096319
	7.80	6.35965967	6.3465	3.5300	4.2090	3.4924	-4.055	-3.513	-2.846	-2.665	-2.595	-2.503	-2.270	-2.208	-2.148	-0.06095797
	7.80	6.36001158	6.3469	3.5181	4.1911	3.4329	-4.025	-3.549	-2.913	-2.742	-2.678	-2.592	-2.372	-2.312	-2.257	-0.06095342
	7.80	6.36033535	6.3472	3.5288	4.1747	3.3564	-4.052	-3.635	-3.027	-2.868	-2.811	-2.728	-2.520	-2.463	-2.410	-0.06094923
	7.80	6.36071491	6.3476	3.5462	4.1562	3.2653	-4.095	-3.748	-3.169	-3.016	-2.964	-2.886	-2.693	-2.641	-2.592	-0.06094432
	7.80	6.36114597	6.3480	3.5607	4.1355	3.1681	-4.132	-3.857	-3.314	-3.169	-3.122	-3.053	-2.875	-2.828	-2.784	-0.06093874
